url	first_seen	portal	title	company	status	location	fingerprint	posted_at	trust_score	trust_flags	normalized_company
https://jobs.ashbyhq.com/cursor/cd4bad0a-e2f6-4a8d-9b57-ce1780efedae	2026-07-29	ashby-api	Research Scientist	Cursor	added	San Francisco · New York · United States		2026-01-27			cursor
https://boards.greenhouse.io/braze/jobs/8044123?gh_jid=8044123	2026-07-29	greenhouse-api	Applied AI Architect, GTM	Braze	added	Chicago		2026-07-02			braze
https://jobs.ashbyhq.com/suno/1e23d125-d72c-49b6-891d-77d62c96cd13	2026-07-29	ashby-api	Machine Learning Scientist	Suno	added	Boston · San Francisco · United States		2024-05-21			suno
https://jobs.ashbyhq.com/insitro/2cbd914b-7156-494d-8e15-772ed63d88d3	2026-07-29	ashby-api	Senior Machine Learning Scientist, Imaging	Insitro	added	South San Francisco, CA		2026-02-17			insitro
https://www.okta.com/company/careers/opportunity/8009100?gh_jid=8009100	2026-07-29	greenhouse-api	Principal Product Manager, IAM Security & Agentic Identity	Okta	added	Bellevue, Washington; Chicago, Illinois; San Francisco, California; Washington, DC		2026-06-19			okta
https://www.okta.com/company/careers/opportunity/7305744?gh_jid=7305744	2026-07-29	greenhouse-api	Senior Software Engineer, AI Agentic Experience (Auth0)	Okta	added	San Francisco, California		2025-10-07			okta
https://www.okta.com/company/careers/opportunity/8038929?gh_jid=8038929	2026-07-29	greenhouse-api	Sr. Product Manager - Agentic Security	Okta	added	Bellevue, Washington; Chicago, Illinois; New York, New York; Washington, DC		2026-07-01			okta
https://www.okta.com/company/careers/opportunity/7308745?gh_jid=7308745	2026-07-29	greenhouse-api	Staff Software Engineer, AI Agentic Experience (Auth0)	Okta	added	San Francisco, California		2025-10-13			okta
https://boards.greenhouse.io/inflectionai/jobs/4693056006?gh_jid=4693056006	2026-07-29	greenhouse-api	Principal Engineer, Agentic AI Systems	Inflection AI	added	Palo Alto, California, United States		2026-06-29			inflection ai
https://boards.greenhouse.io/inflectionai/jobs/4681064006?gh_jid=4681064006	2026-07-29	greenhouse-api	Staff Engineer, Agentic	Inflection AI	added	Palo Alto, California, United States		2026-05-12			inflection ai
