url	first_seen	portal	title	company	status	location	fingerprint	posted_at	trust_score	trust_flags	normalized_company
https://visa.wd5.myworkdayjobs.com/visa/job/US---Foster-City-CA/Staff-Software-Engineer---GenAI_REF081851W	2026-07-29	workday-api	Staff Software Engineer - GenAI	Visa	added	US - Foster City, CA		2026-07-24			visa
https://visa.wd5.myworkdayjobs.com/visa/job/US---Bellevue-WA/Software-Engineer---Corporate-GenAI_REF085070W	2026-07-29	workday-api	Software Engineer - Corporate GenAI	Visa	added	US - Bellevue, WA		2026-07-23			visa
https://visa.wd5.myworkdayjobs.com/visa/job/US---Austin-TX/Staff-Software-Engineer_REF075652W	2026-07-29	workday-api	Staff Software Engineer - Legal GenAI Platform	Visa	added	US - Austin, TX		2026-07-21			visa
https://visa.wd5.myworkdayjobs.com/visa/job/US---Foster-City-CA/Director-of-Product---Agentic-Commerce_REF085033W	2026-07-29	workday-api	Director of Product - Agentic Commerce	Visa	added	2 Locations		2026-07-20			visa
https://visa.wd5.myworkdayjobs.com/visa/job/US---Austin-TX/Senior-Director--Software-Engineering--GenAI-Cloud-_REF079644W	2026-07-29	workday-api	Senior Director, Software Engineering (GenAI/Cloud)	Visa	added	US - Austin, TX		2026-07-09			visa
https://visa.wd5.myworkdayjobs.com/visa/job/US---Foster-City-CA/Director--Agentic-Product-Transformation_REF083386W	2026-07-29	workday-api	Director, Agentic Product Transformation	Visa	added	US - Foster City, CA					visa
https://visa.wd5.myworkdayjobs.com/visa/job/US---Austin-TX/GenAI-Senior-Software-Engineer_REF083392W	2026-07-29	workday-api	GenAI Senior Software Engineer	Visa	added	2 Locations					visa
https://visa.wd5.myworkdayjobs.com/visa/job/US---Foster-City-CA/Staff-Research-Scientist_REF082347W	2026-07-29	workday-api	Staff Research Scientist	Visa	added	US - Foster City, CA					visa
https://visa.wd5.myworkdayjobs.com/visa/job/US---San-Francisco-CA/Manager--Analytics---Agentic-Platform-Operations_REF083139W	2026-07-29	workday-api	Manager, Analytics & Agentic Platform Operations	Visa	added	2 Locations					visa
https://visa.wd5.myworkdayjobs.com/visa/job/US---Foster-City-CA/Senior-Manager--B2B-Agentic-Commerce-Partnerships_REF080209W	2026-07-29	workday-api	Senior Manager, B2B Agentic Commerce Partnerships	Visa	added	US - Foster City, CA					visa
https://visa.wd5.myworkdayjobs.com/visa/job/US---Austin-TX/Sr-Manager-Software-Engineering-2_REF081504W-1	2026-07-29	workday-api	Software Engineer GenAI - Sr. Consultant level	Visa	added	US - Austin, TX					visa
https://visa.wd5.myworkdayjobs.com/visa/job/US---Bellevue-WA/Lead-Solutions-Architect---GenAI_REF080419W	2026-07-29	workday-api	Lead Solutions Architect - GenAI	Visa	added	US - Bellevue, WA					visa
https://visa.wd5.myworkdayjobs.com/visa/job/US---Ashburn-VA/Software-Engineer-Sr-Consultant---Fullstack-GenAI-Engineering_REF080828W-1	2026-07-29	workday-api	Software Engineer, Sr. Consultant - Fullstack GenAI Enablement	Visa	added	US - Ashburn, VA					visa
https://visa.wd5.myworkdayjobs.com/visa/job/US---Foster-City-CA/Lead-Research-Scientist_REF081854W	2026-07-29	workday-api	Lead Research Scientist	Visa	added	US - Foster City, CA					visa
https://visa.wd5.myworkdayjobs.com/visa/job/US---Foster-City-CA/Head-of-Generative-AI-Research_REF075116W	2026-07-29	workday-api	Head of Generative AI Research	Visa	added	US - Foster City, CA					visa
https://visa.wd5.myworkdayjobs.com/visa/job/US---San-Francisco-CA/Analyst--Applied-AI-Solutions_REF080786W-1	2026-07-30	workday-api	Analyst, Applied AI Solutions	Visa	added	US - San Francisco, CA		2026-07-30			visa
https://travelers.wd5.myworkdayjobs.com/external/job/GA---Atlanta/Senior-Director--Technical-Product-Owner---Agentic-AI---Harnesses_R-51806-1	2026-08-10	workday-api	Senior Director, Technical Product Owner - Agentic AI & Harnesses	Travelers	added	2 Locations		2026-08-10			travelers
https://visa.wd5.myworkdayjobs.com/visa/job/US---Foster-City-CA/Sr--Product-Manager_REF087538W	2026-08-31	workday-api	Sr. Product Manager-RAS Agentic Commerce	Visa	added	2 Locations		2026-08-31			visa
